রপ্তানি	﻿রপ্তানি
অবস্থান	অবস্থান
ঘটতে	ঘটতে
পারে	পারে
বেশ	বেশ
ঘন	ঘন
ঘন	ঘন

তারপর	তারপর
কালীপূজাও	কালীপূজাও
শেষ	শেষ
হল	হল

নিজেকে	নিজেকে
ইদানিং	ইদানিং
বড়	বড়
একা	একা
একা	একা
লাগে	লাগে

এই	এই
ধরণের	ধরণের
মজবুত	মজবুত
শিরজার	শিরজার
জন্য	জন্য
সময়	সময়
এবং	এবং
পরিশ্রম	পরিশ্রম
দুইয়েরই	দুইয়েরই
দরকার	দরকার
হয়	হয়

আমরা	আমরা
জানি	জানি
সংস্কৃতে	সংস্কৃতে
শব্দরূপে	শব্দরূপে
এবং	এবং
ধাতুরূপে	ধাতুরূপে
লিঙ্গ	লিঙ্গ
ও	ও
বচনে	বচনে
কত	কত
জটিলতা	জটিলতা

তারপর	তারপর
হঠাত্	হঠাত্
বললো	বললো
আপনাকে	আপনাকে
আমি	আমি
চিনি	চিনি
না	না
কিন্তু	কিন্তু
মনে	মনে
হচ্ছে	হচ্ছে
চিনি	চিনি

গ্রাম	গ্রাম
প্রধানের	প্রধানের
সঙ্গে	সঙ্গে
অমিলাল	অমিলাল
যাদবের	যাদবের
সম্পর্ক	সম্পর্ক
ছিল	ছিল

এখনও	এখনও
লেখালিখি	লেখালিখি
করেন	করেন
নিয়মিত	নিয়মিত

নিজস্ব	নিজস্ব
প্রতিনিধি	প্রতিনিধি

তাহলে	তাহলে
প্রতিটি	প্রতিটি
বাঘের	বাঘের
গন্ধে	গন্ধে
থাকবে	থাকবে
কোন	কোন
স্বকীয়	স্বকীয়
বৈশিষ্ট্য	বৈশিষ্ট্য

এখন	এখন
তারা	তারা
একে	একে
অপরের	অপরের
ঘনিষ্ট	ঘনিষ্ট

অফিসে	অফিসে
বেরুবার	বেরুবার
সময়	সময়
বা	বা
সকালে	সকালে
অন্য	অন্য
কোথাও	কোথাও
যাওয়ার	যাওয়ার
আগে	আগে
স্নান	স্নান
করবেনই	করবেনই
করবেন	করবেন
কিন্তু	কিন্তু

ডাকযোগে	ডাকযোগে
পণ্য	পণ্য
বহন	বহন
করা	করা
হইলেও	হইলেও
ডাকঘরকে	ডাকঘরকে
সাধারণ	সাধারণ
বাহক	বাহক
বলা	বলা
হয়	হয়
না	না

বর্তমান	বর্তমান
যুগে	যুগে
সমাজ	সমাজ
সভ্যতা	সভ্যতা
যখন	যখন
এতটা	এতটা
পথ	পথ
এগিয়ে	এগিয়ে
এসেছে	এসেছে
তখন	তখন
পণপ্রথা	পণপ্রথা
বধূহত্যা	বধূহত্যা
পত্নীত্যাগ	পত্নীত্যাগ
ইত্যাদি	ইত্যাদি
সামাজিক	সামাজিক
কলংক	কলংক
চিহ্নগুলি	চিহ্নগুলি
খুবই	খুবই
দুঃখের	দুঃখের

তৃতীয়	তৃতীয়
ভারতীয়	ভারতীয়
হিসেবে	হিসেবে
দক্ষিণ	দক্ষিণ
আফ্রিকার	আফ্রিকার
প্রবল	প্রবল
প্রতিদ্বন্দ্বী	প্রতিদ্বন্দ্বী
এম	এম
ওনডুম্বারকে	ওনডুম্বারকে
যখন	যখন
কোণ	কোণ
ঠাসা	ঠাসা
করতে	করতে
শুরু	শুরু
করেছিলাম	করেছিলাম
তখন	তখন
বার	বার
বার	বার
কোচের	কোচের
কথা	কথা
মনে	মনে
পড়ছিল	পড়ছিল

তেমন	তেমন
হলে	হলে
হাতে	হাতে
একটু	একটু
ক্রিম	ক্রিম
তেল	তেল
হ্যাণ্ডলোশন	হ্যাণ্ডলোশন
বা	বা
কোনও	কোনও
বোরোগ্লিসারিন	বোরোগ্লিসারিন
জাতীয়	জাতীয়
জিনিস	জিনিস
লাগাতে	লাগাতে
পারেন	পারেন

কাঁদ	কাঁদ
কাঁদ	কাঁদ
সুরে	সুরে
কি	কি
প্যাঁচকলে	প্যাঁচকলে
পড়লাম	পড়লাম
রে	রে
বাবা	বাবা

শিব-ডিয়োনিসাসের	শিব-ডিয়োনিসাসের
মতো	মতো
মধ্যপ্রাচ্য	মধ্যপ্রাচ্য
ইয়োরোপ	ইয়োরোপ
ও	ও
ভারতের	ভারতের
দেবী	দেবী
প্রকৃতির	প্রকৃতির
আদ্যাশক্তি	আদ্যাশক্তি
যা	যা
মানুষের	মানুষের
স্বভাব	স্বভাব
সহজাত	সহজাত
তার	তার
মহত্ব	মহত্ব
তাঁদের	তাঁদের
ধর্মে	ধর্মে
কীর্তিত	কীর্তিত

আনন্দবাজার	আনন্দবাজার
পত্রিকা	পত্রিকা

কেরালায়	কেরালায়
রাজ্য	রাজ্য
ক্রীড়া	ক্রীড়া
পর্ষদের	পর্ষদের
ছাতার	ছাতার
নীচে	নীচে
প্রশিক্ষকের	প্রশিক্ষকের
সংখ্যা	সংখ্যা
শতাধিক	শতাধিক
আর	আর
পশ্চিমবঙ্গে	পশ্চিমবঙ্গে
মাত্র	মাত্র
আঠার	আঠার
জন	জন

এই	এই
দৃশ্য	দৃশ্য
দেখে	দেখে
ফিংকেলস্টাইনের	ফিংকেলস্টাইনের
চাকর	চাকর
যেটা	যেটা
করল	করল
সেটাও	সেটাও
মনে	মনে
রাখার	রাখার
মতো	মতো

আমি	আমি
সেফটির	সেফটির
কথা	কথা
ভেবে	ভেবে
ওদের	ওদের
জানালাম	জানালাম
আপনার	আপনার
খালি	খালি
ফ্ল্যাটগুলোতে	ফ্ল্যাটগুলোতে
এবং	এবং
ওয়ান	ওয়ান
মিসেস	মিসেস
পপি	পপি
বিশোয়াসের	বিশোয়াসের
ফ্ল্যাটেও	ফ্ল্যাটেও
মিসেস	মিসেস
চাওলার	চাওলার
বে-আইনী	বে-আইনী
মাল	মাল
লুকনো	লুকনো
থাকে	থাকে

এর	এর
দ্বারা	দ্বারা
বশীকরণও	বশীকরণও
হয়	হয়
আচার্য্যেরা	আচার্য্যেরা
এই	এই
বলে	বলে
থাকেন	থাকেন

একথা	একথা
শুনে	শুনে
মা	মা
উত্তর	উত্তর
দিয়েছিলেন	দিয়েছিলেন
হলই	হলই
বা	বা

জানা	জানা
গেল	গেল
কেবল	কেবল
সরস্বতী	সরস্বতী
নয়	নয়
পূজা	পূজা
হয়	হয়
লক্ষ্মী	লক্ষ্মী
সরস্বতী	সরস্বতী
মূর্তি	মূর্তি
যৌথভাবে	যৌথভাবে
এবং	এবং
শ্রীপঞ্চমীতেই	শ্রীপঞ্চমীতেই

জাত	জাত
জলদি	জলদি
কুফরি	কুফরি
চন্দ্রমুখী	চন্দ্রমুখী
কুফরি	কুফরি
অলংকার	অলংকার
কুফরি	কুফরি
লাউকার	লাউকার
আপ-টু-ডেট	আপ-টু-ডেট

বিশ্বাস	বিশ্বাস
ঠিকও	ঠিকও
হয়	হয়

ঋত্বিকের	ঋত্বিকের
দায়িত্ব	দায়িত্ব
আচার	আচার
অনুষ্ঠানে	অনুষ্ঠানে
ভুল	ভুল
ভ্রান্তি	ভ্রান্তি
নির্ধারণ	নির্ধারণ
এবং	এবং
সংশোধন	সংশোধন

সকল	সকল
প্রাণী	প্রাণী
আপন	আপন
যথালব্ধ	যথালব্ধ
সম্পত্তি	সম্পত্তি
থেকে	থেকে
বঞ্চিত	বঞ্চিত
না	না
হোক	হোক

এমন	এমন
কি	কি
ভিটামিন	ভিটামিন

ও	ও

র	র
অত্যধিক	অত্যধিক
প্রয়োগে	প্রয়োগে
কুফল	কুফল
দেখা	দেখা
দিতে	দিতে
পারে	পারে

আকবকের	আকবকের
দরবারে	দরবারে
যে	যে
ছত্রিশ	ছত্রিশ
জন	জন
বিশিষ্ট	বিশিষ্ট
কলাকার	কলাকার
ছিলেন	ছিলেন
সকলেরই	সকলেরই
মতে	মতে
তাঁদের	তাঁদের
মধ্যে	মধ্যে
তানসেন	তানসেন
ছিলেন	ছিলেন
সর্বশ্রেষ্ঠ	সর্বশ্রেষ্ঠ

ফরহ্যান্স	ফরহ্যান্স

সাবিত্রীদি	সাবিত্রীদি
চুড়ো	চুড়ো
বেঁধে	বেঁধে
দিচ্ছিলেন	দিচ্ছিলেন
সতুর	সতুর
চুলে	চুলে

এবং	এবং


কেবল	কেবল
কর্তা	কর্তা
ও	ও
অধিকরণের	অধিকরণের
ভেদ	ভেদ
বুদ্ধি	বুদ্ধি
কল্পনা	কল্পনা
মাত্র	মাত্র
ব্যবহারের	ব্যবহারের
জন্য	জন্য
আরোপিত	আরোপিত
মাত্র	মাত্র

মনে	মনে
হয়	হয়
হতাশা	হতাশা
লাঘব	লাঘব
করার	করার
চেষ্টা	চেষ্টা

বুধবার	বুধবার
এঁদের	এঁদের
মধ্যে	মধ্যে
একজনের	একজনের
মৃত্যু	মৃত্যু
হয়	হয়

এখন	এখন
থেকে	থেকে
আখের	আখের
গোছানো	গোছানো
দরকার	দরকার

তাহলে	তাহলে
তার	তার
পরের	পরের
দিনও	দিনও
উপোস	উপোস

খামটা	খামটা
খুলতে	খুলতে
তার	তার
থেকে	থেকে
একটা	একটা
চিরকুট	চিরকুট
বেরোল	বেরোল
তাতে	তাতে
লেখা	লেখা
লাইবনিত্স	লাইবনিত্স
হলে	হলে
বিজ্ঞান	বিজ্ঞান
সভায়	সভায়
ভারতীয়	ভারতীয়
বৈজ্ঞানিক	বৈজ্ঞানিক
প্রোফেসর	প্রোফেসর
শঙ্কুর	শঙ্কুর
চোখ	চোখ
থেকে	থেকে
খুলে	খুলে
পড়	পড়
চশমা	চশমা
সংলগ্ন	সংলগ্ন
নাইনলের	নাইনলের
চুল	চুল

খালি	খালি
সাতবার	সাতবার
কামান	কামান
দাগা	দাগা
ছাড়া	ছাড়া

অর্থাত্	অর্থাত্
এই	এই
ক্ষেত্রে	ক্ষেত্রে
উপবৃত্ত	উপবৃত্ত
সমবর্তিত	সমবর্তিত
রশ্মি	রশ্মি
অসমবর্তিত	অসমবর্তিত
এবং	এবং
সমতল	সমতল
সমবর্তিত	সমবর্তিত
রশ্মির	রশ্মির
মিশ্রণের	মিশ্রণের
ন্যায়	ন্যায়
আচরণ	আচরণ
করে	করে

নেসলেই	নেসলেই
য়্যালবাম	য়্যালবাম
বার	বার
করেছে	করেছে
সেই	সেই
য়্যালবামে	য়্যালবামে
ছবিগুলো	ছবিগুলো
সেঁটে	সেঁটে
রাখতে	রাখতে
হয়	হয়

ফুটোগুলো	ফুটোগুলো
এমন	এমন
ভাবে	ভাবে
করতে	করতে
হবে	হবে
যাতে	যাতে
তাসগুলো	তাসগুলো
এক	এক
জায়গায়	জায়গায়
জড়ো	জড়ো
করলে	করলে
ফুটোগুলো	ফুটোগুলো
ঠিক	ঠিক
একটার	একটার
পর	পর
আর	আর
একটা	একটা
পড়ে	পড়ে

বোবার	বোবার
মত	মত

জল	জল
খেয়ে	খেয়ে
বলতেন	বলতেন
এইবার	এইবার
চা	চা
আনতে	আনতে
বল	বল

তাহার	তাহার
জন্য	জন্য
তাহাদের	তাহাদের
দাম্ভিকতা	দাম্ভিকতা
নাই	নাই

মনে	মনে
আছে	আছে
হেলিকপ্টারে	হেলিকপ্টারে
চড়ে	চড়ে
ঢুকেছিলাম	ঢুকেছিলাম
জ্যান্ত	জ্যান্ত
আগ্নেয়গিরির	আগ্নেয়গিরির
গহ্বরে	গহ্বরে

কোন	কোন
অসুবিধে	অসুবিধে
হলে	হলে
ওখানেই	ওখানেই
ফোন	ফোন
করে	করে
দিও	দিও

আবার	আবার
ছুটলো	ছুটলো
এলিজা	এলিজা
ছেলেকে	ছেলেকে
কোলে	কোলে
নিয়ে	নিয়ে

সশব্দে	সশব্দে
ট্রাক	ট্রাক
ছুটছে	ছুটছে

নিতান্ত	নিতান্ত
গৃহবধূ	গৃহবধূ
ছিলেন	ছিলেন
না	না
কোরাজন	কোরাজন
আকিনো	আকিনো

প্রথম	প্রথম
প্রথম	প্রথম
তার	তার
ইতি	ইতি
পূর্বেকার	পূর্বেকার
ভাল	ভাল
রেকর্ড	রেকর্ড
থাকায়	থাকায়
বিশেষ	বিশেষ
কিছু	কিছু
বলিনি	বলিনি

তোমার	তোমার
বন্ধু	বন্ধু
বলল	বলল
দু	দু
হাজার	হাজার
হবে	হবে

যৌবনে	যৌবনে
পদার্পণের	পদার্পণের
সঙ্গে	সঙ্গে
সঙ্গে	সঙ্গে
যে	যে
মানুষটি	মানুষটি
হয়ে	হয়ে
উঠেছিলেন	উঠেছিলেন
উচ্ছৃঙ্খল	উচ্ছৃঙ্খল
দুর্বার	দুর্বার
দুর্বিনীত	দুর্বিনীত
সেই	সেই
মানুষের	মানুষের
পক্ষে	পক্ষে
নিরলস	নিরলস
সারস্বত	সারস্বত
সাধনা	সাধনা
সম্ভব	সম্ভব
হয়েছিল	হয়েছিল
কি	কি
করে	করে

প্রকাণ্ড	প্রকাণ্ড
হলঘরে	হলঘরে
পাশাপাশি	পাশাপাশি
চেয়ার	চেয়ার
রাখা	রাখা
হয়েছিল	হয়েছিল
ছ	ছ
খানা	খানা

সুতরাং	সুতরাং
কেবলমাত্র	কেবলমাত্র
সংজ্ঞা	সংজ্ঞা
হিসাবে	হিসাবে
পরিচিত	পরিচিত
হওয়ার	হওয়ার
জন্যেই	জন্যেই
এই	এই
নিয়ম	নিয়ম
যা	যা
অভিজ্ঞতালব্ধ	অভিজ্ঞতালব্ধ
কোনো	কোনো
ব্যতিক্রমের	ব্যতিক্রমের
হাত	হাত
থেকে	থেকে
কোনোক্রমে	কোনোক্রমে
রেহাই	রেহাই
পেয়েছে	পেয়েছে

অধিক	অধিক
সংখ্যক	সংখ্যক
সেচের	সেচের
নালার	নালার
আবশ্যক	আবশ্যক
হয়	হয়
না	না
ফলে	ফলে
জমি	জমি
কম	কম
নষ্ট	নষ্ট
হয়	হয়

পরে	পরে
প্রতিভা	প্রতিভা
বসুর	বসুর
সম্পাদনায়	সম্পাদনায়
বেরিয়েছিল	বেরিয়েছিল
আধুনিক	আধুনিক
বাংলা	বাংলা
আশ্চর্য	আশ্চর্য
সংকলন	সংকলন
গ্রন্থ	গ্রন্থ
সিরিজ	সিরিজ
বৈশাখী	বৈশাখী

এখন	এখন
এই	এই
কাজগুলি	কাজগুলি
করার	করার
সময়	সময়
শেখে	শেখে
মাটির	মাটির
প্রকৃতি	প্রকৃতি
বিভিন্ন	বিভিন্ন
দেশের	দেশের
মাটির	মাটির
ধর্ম	ধর্ম
কোন্	কোন্
মাটিতে	মাটিতে
কি	কি
ধরনের	ধরনের
বস্তু	বস্তু
জন্মায়	জন্মায়
এক	এক
কথায়	কথায়
ভূবিদ্যা	ভূবিদ্যা
ও	ও
ভূগোলের	ভূগোলের
নানা	নানা
প্রয়োজনীয়	প্রয়োজনীয়
তথ্য	তথ্য

এক	এক
সময়	সময়
আদি	আদি
অস্ত্রালদের	অস্ত্রালদের
ব্যাপ্তি	ব্যাপ্তি
উত্তর	উত্তর
ভারত	ভারত
থেকে	থেকে
প্রশান্ত	প্রশান্ত
মহাসাগরের	মহাসাগরের
ইস্টার	ইস্টার
দ্বীপ	দ্বীপ
পর্য্যন্ত	পর্য্যন্ত
ছিল	ছিল

তিনি	তিনি
যাকে	যাকে
বিশ্বাস	বিশ্বাস
করতেন	করতেন
সে	সে
কোন	কোন
মিথ্যা	মিথ্যা
কথা	কথা
বললে	বললে
তাঁর	তাঁর
মাথায়	মাথায়
যেন	যেন
আকাশ	আকাশ
ভেঙে	ভেঙে
পড়ত	পড়ত

ওঁর	ওঁর
মা	মা
নানা	নানা
রকম	রকম
প্রশ্ন	প্রশ্ন
করতে	করতে
লাগলেন	লাগলেন

খ্রীষ্টপূর্ব	খ্রীষ্টপূর্ব
চতুর্থ	চতুর্থ
শতাব্দীতে	শতাব্দীতে
গ্রীক	গ্রীক
দার্শনিক	দার্শনিক
য়্যারিস্টটল	য়্যারিস্টটল

প্রমাণ	প্রমাণ
করেন	করেন
যে	যে
জীবজগতের	জীবজগতের
মধ্যে	মধ্যে
বিভিন্ন	বিভিন্ন
শ্রেণী	শ্রেণী
বর্তমান	বর্তমান
এবং	এবং
একটি	একটি
শ্রেণীর	শ্রেণীর
জীব	জীব
অপর	অপর
শ্রেণীর	শ্রেণীর
জীব	জীব
থেকে	থেকে
অপেক্ষাকৃত	অপেক্ষাকৃত
উন্নত	উন্নত
এবং	এবং
জীবগুলি	জীবগুলি
তাদের	তাদের
পূর্বপুরুষ	পূর্বপুরুষ
অর্থাত্	অর্থাত্
উদ্বংশীয়	উদ্বংশীয়

থেকে	থেকে
উত্পত্তি	উত্পত্তি
লাভ	লাভ
করে	করে
অভিব্যক্তি	অভিব্যক্তি
বা	বা
ক্রমবিকাশের	ক্রমবিকাশের
মাধ্যমে	মাধ্যমে
ক্রমাগত	ক্রমাগত
পরিবর্তিত	পরিবর্তিত
ও	ও
রূপান্তরিত	রূপান্তরিত
হয়ে	হয়ে
বর্তমান	বর্তমান
রূপ	রূপ
ধারণ	ধারণ
করেছে	করেছে

আমি	আমি
তো	তো
নিজে	নিজে
থেকে	থেকে
আপনাদের	আপনাদের
টেবিলে	টেবিলে
এসে	এসে
জুড়ে	জুড়ে
বসলাম	বসলাম

সেজন্য	সেজন্য
পারিবারিক	পারিবারিক
খবরদারিটা	খবরদারিটা
বিশেষত	বিশেষত
শুভলক্ষ্মীর	শুভলক্ষ্মীর
মতো	মতো
এক	এক
প্রতিভাময়ী	প্রতিভাময়ী
অথচ	অথচ
কমবয়সী	কমবয়সী
অভিনেত্রীর	অভিনেত্রীর
ক্ষেত্রে	ক্ষেত্রে
থাকাটা	থাকাটা
অস্বাভাবিক	অস্বাভাবিক
কিছু	কিছু
নয়	নয়

মধ্যবর্তীকালে	মধ্যবর্তীকালে
তিনি	তিনি
নানা	নানা
সময়ে	সময়ে
ইংরেজী	ইংরেজী
সাহিত্য	সাহিত্য
ইতিহাস	ইতিহাস
জীববিজ্ঞান	জীববিজ্ঞান
নৃতত্ত্ব	নৃতত্ত্ব
পড়িয়েছেন	পড়িয়েছেন
সালে	সালে
দেখা	দেখা
গেল	গেল
তিনি	তিনি
হয়ে	হয়ে
গেছেন	গেছেন
মাদ্রাজ	মাদ্রাজ
প্রেসিডেন্সি	প্রেসিডেন্সি
কলেজে	কলেজে
সংস্কৃত	সংস্কৃত
ও	ও
তুলনামূলক	তুলনামূলক
ভাষাতত্ত্বের	ভাষাতত্ত্বের
অধ্যাপক	অধ্যাপক

তাজ	তাজ
গ্রুপ	গ্রুপ
তাঁদের	তাঁদের
স্থপতিদের	স্থপতিদের
পরামর্শ	পরামর্শ
দিয়ে	দিয়ে
রাজ্য	রাজ্য
সরকারের	সরকারের
উন্নয়নমূলক	উন্নয়নমূলক
প্রতিষ্ঠানগুলিকে	প্রতিষ্ঠানগুলিকে
সাহায্য	সাহায্য
করবেন	করবেন

কিন্তু	কিন্তু
সমভূমি	সমভূমি
অঞ্চলের	অঞ্চলের
উর্বর	উর্বর
মৃত্তিকা	মৃত্তিকা
ও	ও
সুন্দর	সুন্দর
যাতায়াত	যাতায়াত
ব্যবস্থা	ব্যবস্থা
কৃষিকার্য্য	কৃষিকার্য্য
এবং	এবং
ঘন	ঘন
জনবসতি	জনবসতি
গড়িয়া	গড়িয়া
উঠার	উঠার
বিশেষ	বিশেষ
সহায়ক	সহায়ক

ইহা	ইহা
খাদ্যকে	খাদ্যকে
ধরিতে	ধরিতে
এবং	এবং
য়্যানটিনা	য়্যানটিনা
প্যাল্প	প্যাল্প
এবং	এবং
অগ্রপদকে	অগ্রপদকে
পরিষ্কার	পরিষ্কার
রাখিতে	রাখিতে
সাহায্য	সাহায্য
করে	করে

রাণী	রাণী
লক্ষ্মীবাই	লক্ষ্মীবাই
রাজসভা	রাজসভা
আহ্বান	আহ্বান
করেছেন	করেছেন

নেহাত্	নেহাত্
যদি	যদি
প্রাণে	প্রাণে
না	না
মর	মর
এখানকার	এখানকার
বাস	বাস
তোমার	তোমার
ঘুচে	ঘুচে
যাবে	যাবে

রাতবিরেত	রাতবিরেত
হলে	হলে
আরও	আরও
বেশি	বেশি

চরকা	চরকা
কাটতে	কাটতে
দিয়ে	দিয়ে
কাটুনিদের	কাটুনিদের
মজুরি	মজুরি
দেন	দেন
সুতো	সুতো
থেকে	থেকে
কাপড়	কাপড়
বুনিয়ে	বুনিয়ে
তাঁতিদের	তাঁতিদের
মজুরি	মজুরি
দেন	দেন
গ্রামে	গ্রামে
তো	তো
কেউ	কেউ
কিনবে	কিনবে
না	না
শহরে	শহরে
এনে	এনে
ভাণ্ডারে	ভাণ্ডারে
জমা	জমা
দেন	দেন

ভাইকে	ভাইকে
প্রাণাধিক	প্রাণাধিক
স্নেহ	স্নেহ
করতেন	করতেন
রামকুমার	রামকুমার

আর	আর
একজন	একজন
কিন্তু	কিন্তু
থানায়	থানায়
যাবার	যাবার
পূর্বে	পূর্বে
জলযোগের	জলযোগের
ব্যবস্থার	ব্যবস্থার
প্রস্তাব	প্রস্তাব
করলেন	করলেন

আবার	আবার
কবে	কবে
তোমার	তোমার
সঙ্গে	সঙ্গে
এভাবে	এভাবে
দেখা	দেখা
হবে	হবে

লক্ষ	লক্ষ
লক্ষ	লক্ষ
ছাত্র	ছাত্র
যুবক	যুবক
কেরিয়ারের	কেরিয়ারের
হাতছানি	হাতছানি
উপেক্ষা	উপেক্ষা
করে	করে
ঘরবাড়ি	ঘরবাড়ি
ছেড়ে	ছেড়ে
গ্রামে	গ্রামে
গিয়েছিলেন	গিয়েছিলেন
ওই	ওই
উক্তির	উক্তির
স্বপক্ষে	স্বপক্ষে
কিছু	কিছু
তথ্য	তথ্য
অন্তত	অন্তত
সমকালীন	সমকালীন
কিছু	কিছু
প্রমাণ	প্রমাণ
চাই	চাই

এই	এই
রকম	রকম
সিদ্ধান্ত	সিদ্ধান্ত
থেকেই	থেকেই
বেহালার	বেহালার
বাড়ি	বাড়ি
ভাঙা	ভাঙা
ইসুকে	ইসুকে
কাজে	কাজে
লাগাতে	লাগাতে
চায়	চায়
কংগ্রেস	কংগ্রেস

এই	এই
প্রকার	প্রকার
অনিয়মিত	অনিয়মিত
ফলন	ফলন
খুব	খুব
ক্ষতিকর	ক্ষতিকর
কারণ	কারণ
যে	যে
বত্সর	বত্সর
গাছে	গাছে
প্রচুর	প্রচুর
ফলন	ফলন
হয়	হয়
সেই	সেই
বত্সর	বত্সর
অত্যধিক	অত্যধিক
ফলনের	ফলনের
জন্য	জন্য
বাজারে	বাজারে
আমের	আমের
