রপ্তানি	﻿রপ্তান
সূর্য্য	সূর্য্
চাঁদ	চাঁদ
বুধ	বুধ
ও	ও
শুক্রের	শুক্
একই	এক
রাশিতে	রাশ
অবস্থান	অবস্থা
ঘটতে	ঘ
পারে	পারা
বেশ	বেশ
ঘন	ঘন
ঘন	ঘন

তারপর	তারপ
কালীপূজাও	কালীপূজা
শেষ	শেষ
হল	হওয়া

নিজেকে	নিজ
ইদানিং	ইদানি
বড়	ব
একা	এক
একা	এক
লাগে	লাগা

এই	এই
ধরণের	ধর
মজবুত	মজবু
শিরজার	শিরজা
জন্য	জন্য
সময়	সময়
এবং	এবং
পরিশ্রম	পরিশ্র
দুইয়েরই	দুইয়
দরকার	দরকার
হয়	হয়

আমরা	আমি
জানি	জানা
সংস্কৃতে	সংস্কৃত
শব্দরূপে	শব্দরূপ
এবং	এবং
ধাতুরূপে	ধাতুরূপ
লিঙ্গ	লিঙ্গ
ও	ও
বচনে	বচন
কত	কত
জটিলতা	জটি

তারপর	তারপ
হঠাত্	হঠাত
বললো	বলল
আপনাকে	আপনি
আমি	আমি
চিনি	চিনি
না	না
কিন্তু	কিন্তু
মনে	মন
হচ্ছে	হওয়া
চিনি	চিনি

গ্রাম	গ্রাম
প্রধানের	প্রধা
সঙ্গে	সঙ্গ
অমিলাল	অমিলা
যাদবের	যাদ
সম্পর্ক	সম্পর্ক
ছিল	থাকা

এখনও	এখন
লেখালিখি	লেখাল
করেন	করা
নিয়মিত	নিয়ম

নিজস্ব	নিজস্ব
প্রতিনিধি	প্রতিনিধি

তাহলে	তাহলে
প্রতিটি	প্রতি
বাঘের	বাঘ
গন্ধে	গন্ধ
থাকবে	থাকা
কোন	কোন
স্বকীয়	স্বকী
বৈশিষ্ট্য	বৈশিষ্ট্

এখন	এখন
তারা	তারা
একে	এক
অপরের	অপ
ঘনিষ্ট	ঘনিষ্

অফিসে	অফিস
বেরুবার	বেরুবা
সময়	সময়
বা	বা
সকালে	সকাল
অন্য	অন্য
কোথাও	কোথা
যাওয়ার	যাওয়া
আগে	আগে
স্নান	স্নান
করবেনই	করব
করবেন	কর
কিন্তু	কিন্তু

ডাকযোগে	ডাকয
পণ্য	পণ্য
বহন	বহন
করা	করা
হইলেও	হওয়া
ডাকঘরকে	ডাকঘ
সাধারণ	সাধারণ
বাহক	বাহক
বলা	বলা
হয়	হয়
না	না

বর্তমান	বর্তমান
যুগে	যুগ
সমাজ	সমাজ
সভ্যতা	সভ্যত
যখন	যখন
এতটা	এত
পথ	পথ
এগিয়ে	এগা
এসেছে	া
তখন	তখন
পণপ্রথা	পণপ্রথ
বধূহত্যা	বধূহত্য
পত্নীত্যাগ	পত্নীত্যা
ইত্যাদি	ইত্যাদি
সামাজিক	সামাজই
কলংক	কলং
চিহ্নগুলি	চিহ্নগুল
খুবই	খুব
দুঃখের	দুঃখ

তৃতীয়	তৃতীয়
ভারতীয়	ভারত
হিসেবে	হিসা
দক্ষিণ	দক্ষিণ
আফ্রিকার	আফ্রিকা
প্রবল	প্রবল
প্রতিদ্বন্দ্বী	প্রতিদ্বন্দ্ব
এম	এ
ওনডুম্বারকে	ওনডুম্বা
যখন	যখন
কোণ	কোণ
ঠাসা	ঠাস
করতে	করা
শুরু	শুরু
করেছিলাম	করেছি
তখন	তখন
বার	বার
বার	বার
কোচের	কো
কথা	কথা
মনে	মন
পড়ছিল	পড়

তেমন	তেমন
হলে	হওয়া
হাতে	হাত
একটু	এক
ক্রিম	ক্রি
তেল	তেল
হ্যাণ্ডলোশন	হ্যাণ্ডলোশ
বা	বা
কোনও	কোনও
বোরোগ্লিসারিন	বোরোগ্লিসারি
জাতীয়	জাতীয়
জিনিস	জিনি
লাগাতে	লাগ
পারেন	পারা

কাঁদ	কাঁ
কাঁদ	কাঁ
সুরে	সুর
কি	কি
প্যাঁচকলে	প্যাঁচ
পড়লাম	পড়লা
রে	রে
বাবা	বাবা

শিব-ডিয়োনিসাসের	শিব-ডিয়োনিসা
মতো	মতো
মধ্যপ্রাচ্য	মধ্যপ্রাচ্
ইয়োরোপ	ইয়োরো
ও	ও
ভারতের	ভারত
দেবী	দেবী
প্রকৃতির	প্রকৃত
আদ্যাশক্তি	আদ্যাশক্ত
যা	যা
মানুষের	মানুষ
স্বভাব	স্বভাব
সহজাত	সহজা
তার	তার
মহত্ব	মহত্ব
তাঁদের	তিনি
ধর্মে	ধর্ম
কীর্তিত	কীর্তি

আনন্দবাজার	আনন্দবাজা
পত্রিকা	পত্রিক

কেরালায়	কেরালা
রাজ্য	রাজ্য
ক্রীড়া	ক্রীড়
পর্ষদের	পর্ষদে
ছাতার	ছাতা
নীচে	নীচ
প্রশিক্ষকের	প্রশিক্ষ
সংখ্যা	সংখ্যা
শতাধিক	শতাধি
আর	আর
পশ্চিমবঙ্গে	পশ্চিমবঙ্গ
মাত্র	মাত্র
আঠার	আঠা
জন	জন

এই	এই
দৃশ্য	দৃশ্য
দেখে	দেখা
ফিংকেলস্টাইনের	ফিংকেলস্টাইন
চাকর	চাকর
যেটা	যে
করল	কর
সেটাও	সে
মনে	মন
রাখার	রাখা
মতো	মতো

আমি	আমি
সেফটির	সেফ
কথা	কথা
ভেবে	নেওবে
ওদের	ও
জানালাম	জানালা
আপনার	আপনি
খালি	খালি
ফ্ল্যাটগুলোতে	ফ্ল্যাটগুল
এবং	এবং
ওয়ান	ওয়া
মিসেস	মিসে
পপি	পপি
বিশোয়াসের	বিশোয়া
ফ্ল্যাটেও	ফ্ল্যা
মিসেস	মিসে
চাওলার	চাওলা
বে-আইনী	বে-আইন
মাল	মাল
লুকনো	লুকনো
থাকে	থাকা

এর	এ
দ্বারা	দ্বারা
বশীকরণও	বশীকরণ
হয়	হয়
আচার্য্যেরা	আচার্য্য
এই	এই
বলে	বলে
থাকেন	থাকা

একথা	একথ
শুনে	শা
মা	মা
উত্তর	উত্তর
দিয়েছিলেন	দিয়েছি
হলই	হল
বা	বা

জানা	জানা
গেল	গেল
কেবল	কেবল
সরস্বতী	সরস্বতী
নয়	না
পূজা	পূজা
হয়	হয়
লক্ষ্মী	লক্ষ্মী
সরস্বতী	সরস্বতী
মূর্তি	মূর্ত
যৌথভাবে	যৌথভাব
এবং	এবং
শ্রীপঞ্চমীতেই	শ্রীপঞ্চমী

জাত	জা
জলদি	জলদ
কুফরি	কুফর
চন্দ্রমুখী	চন্দ্রমুখ
কুফরি	কুফর
অলংকার	অলংকা
কুফরি	কুফর
লাউকার	লাউকা
আপ-টু-ডেট	আপ-টু-

বিশ্বাস	বিশ্বাস
ঠিকও	ঠিক
হয়	হয়

ঋত্বিকের	ঋত্বি
দায়িত্ব	দায়িত্ব
আচার	আচার
অনুষ্ঠানে	অনুষ্ঠান
ভুল	ভুল
ভ্রান্তি	ভ্রান্ত
নির্ধারণ	নির্ধার
এবং	এবং
সংশোধন	সংশোধন

সকল	সকল
প্রাণী	প্রাণ
আপন	আপন
যথালব্ধ	যথালব্
সম্পত্তি	সম্পত্তি
থেকে	থেকে
বঞ্চিত	বঞ্চিত
না	না
হোক	হওয়া

এমন	এমন
কি	কি
ভিটামিন	ভিটামিন

ও	ও

র	
অত্যধিক	অত্যধি
প্রয়োগে	প্রয়
কুফল	কুফল
দেখা	দেখা
দিতে	দেওয়া
পারে	পারা

আকবকের	আকব
দরবারে	দরব
যে	যে
ছত্রিশ	ছত্রি
জন	জন
বিশিষ্ট	বিশিষ্ট
কলাকার	কলাকা
ছিলেন	ছিল
সকলেরই	সকল
মতে	মত
তাঁদের	তিনি
মধ্যে	মধ্যে
তানসেন	তানসে
ছিলেন	ছিল
সর্বশ্রেষ্ঠ	সর্বশ্রেষ্

ফরহ্যান্স	ফরহ্যান্

সাবিত্রীদি	সাবিত্রীদ
চুড়ো	চুড়
বেঁধে	বো
দিচ্ছিলেন	দিচ্ছি
সতুর	সতু
চুলে	চুল

এবং	এবং

কেবল	কেবল
কর্তা	কর্ত
ও	ও
অধিকরণের	অধিকর
ভেদ	ভেদ
বুদ্ধি	বুদ্ধি
কল্পনা	কল্পনা
মাত্র	মাত্র
ব্যবহারের	ব্যবহার
জন্য	জন্য
আরোপিত	আরোপি
মাত্র	মাত্র

মনে	মন
হয়	হয়
হতাশা	হতাশ
লাঘব	লাঘ
করার	করা
চেষ্টা	চেষ্টা

বুধবার	বুধবার
এঁদের	তিনি
মধ্যে	মধ্যে
একজনের	একজ
মৃত্যু	মৃত্যু
হয়	হয়

এখন	এখন
থেকে	থেকে
আখের	আখে
গোছানো	গোছান
দরকার	দরকার

তাহলে	তাহলে
তার	তার
পরের	পর
দিনও	দিন
উপোস	উপোস

খামটা	খামট
খুলতে	খু
তার	তার
থেকে	থেকে
একটা	এক
চিরকুট	চিরকু
বেরোল	বেরো
তাতে	তা
লেখা	লেখা
লাইবনিত্স	লাইবন
হলে	হওয়া
বিজ্ঞান	বিজ্ঞা
সভায়	সভা
ভারতীয়	ভারত
বৈজ্ঞানিক	বৈজ্ঞানি
প্রোফেসর	প্রোফেস
শঙ্কুর	শঙ্কু
চোখ	চোখ
থেকে	থেকে
খুলে	নেওলে
পড়	প
চশমা	চশম
সংলগ্ন	সংলগ্ন
নাইনলের	নাইন
চুল	চুল

খালি	খালি
সাতবার	সাতবা
কামান	কামা
দাগা	দাগা
ছাড়া	ছ

অর্থাত্	অর্থাত
এই	এই
ক্ষেত্রে	ক্ষেত্র
উপবৃত্ত	উপবৃত্
সমবর্তিত	সমবর্তি
রশ্মি	রশ্ম
অসমবর্তিত	অসমবর্তি
এবং	এবং
সমতল	সমত
সমবর্তিত	সমবর্তি
রশ্মির	রশ্মি
মিশ্রণের	মিশ্র
ন্যায়	ন্যায়
আচরণ	আচরণ
করে	করা

নেসলেই	নেস
য়্যালবাম	য়্যালবা
বার	বার
করেছে	করা
সেই	সেই
য়্যালবামে	য়্যালব
ছবিগুলো	ছবি
সেঁটে	সে
রাখতে	রাখা
হয়	হয়

ফুটোগুলো	ফুটোগুল
এমন	এমন
ভাবে	ভাব
করতে	করা
হবে	হওয়া
যাতে	যা
তাসগুলো	তাসগুল
এক	এক
জায়গায়	জায়গা
জড়ো	জড়ো
করলে	করা
ফুটোগুলো	ফুটোগুল
ঠিক	ঠিক
একটার	এক
পর	পর
আর	আর
একটা	এক
পড়ে	পড়

বোবার	বোবা
মত	মত

জল	জল
খেয়ে	া
বলতেন	বল
এইবার	এইবার
চা	চা
আনতে	আনত
বল	বল

তাহার	তিনি
জন্য	জন্য
তাহাদের	তাহা
দাম্ভিকতা	দাম্ভিকত
নাই	না

মনে	মন
আছে	আছে
হেলিকপ্টারে	হেলিকপ্ট
চড়ে	চড়
ঢুকেছিলাম	ঢুকেছি
জ্যান্ত	জ্যান্
আগ্নেয়গিরির	আগ্নেয়গি
গহ্বরে	গহ্বর

কোন	কোন
অসুবিধে	সুবিধে
হলে	হওয়া
ওখানেই	ওখা
ফোন	ফোন
করে	করা
দিও	দিও

আবার	আবার
ছুটলো	ছুটল
এলিজা	এলিজ
ছেলেকে	ছেলে
কোলে	কোল
নিয়ে	নেওয়া

সশব্দে	সশব্দ
ট্রাক	ট্রা
ছুটছে	ছুটছা

নিতান্ত	নিতান্ত
গৃহবধূ	গৃহবধ
ছিলেন	ছিল
না	না
কোরাজন	কোরাজ
আকিনো	আকিন

প্রথম	প্রথম
প্রথম	প্রথম
তার	তার
ইতি	ইত
পূর্বেকার	পূর্বে
ভাল	ভাল
রেকর্ড	রেকর্ড
থাকায়	থাকা
বিশেষ	বিশেষ
কিছু	কিছু
বলিনি	বলিন

তোমার	তুমি
বন্ধু	বন্ধু
বলল	বলা
দু	দুই
হাজার	হাজার
হবে	হওয়া

যৌবনে	যৌবন
পদার্পণের	পদার্প
সঙ্গে	সঙ্গ
সঙ্গে	সঙ্গ
যে	যে
মানুষটি	মানুষট
হয়ে	হয়ে
উঠেছিলেন	উঠেছি
উচ্ছৃঙ্খল	উচ্ছৃঙ্খ
দুর্বার	দুর্বা
দুর্বিনীত	দুর্বিনী
সেই	সেই
মানুষের	মানুষ
পক্ষে	পক্ষ
নিরলস	নিরলস
সারস্বত	সারস্ব
সাধনা	সাধন
সম্ভব	সম্ভব
হয়েছিল	হয়ো
কি	কি
করে	করা

প্রকাণ্ড	প্রকাণ্
হলঘরে	হল
পাশাপাশি	পাশাপাশি
চেয়ার	চে
রাখা	রাখা
হয়েছিল	হয়ো
ছ	
খানা	খানা

সুতরাং	সুতরাং
কেবলমাত্র	কেবলমাত্
সংজ্ঞা	সংজ্ঞা
হিসাবে	হিসাব
পরিচিত	পরিচয়
হওয়ার	হওয়া
জন্যেই	জন্
এই	এই
নিয়ম	নিয়ম
যা	যা
অভিজ্ঞতালব্ধ	অভিজ্ঞতালব্
কোনো	কোন
ব্যতিক্রমের	ব্যতিক্র
হাত	হাত
থেকে	থেকে
কোনোক্রমে	কোনোক্রমে
রেহাই	রেহা
পেয়েছে	পেয়া

অধিক	অধিক
সংখ্যক	সংখ্য
সেচের	সে
নালার	নালা
আবশ্যক	আবশ্ই
হয়	হয়
না	না
ফলে	ফল
জমি	জমি
কম	কম
নষ্ট	নষ্ট
হয়	হয়

পরে	পর
প্রতিভা	প্রতিভ
বসুর	বসু
সম্পাদনায়	সম্পাদনা
বেরিয়েছিল	বেরিয়ে
আধুনিক	আধুনিক
বাংলা	বাংল
আশ্চর্য	আশ্চর্য
সংকলন	সংকল
গ্রন্থ	গ্রন্
সিরিজ	সিরি
বৈশাখী	বৈশাখ

এখন	এখন
এই	এই
কাজগুলি	কাজগুল
করার	করা
সময়	সময়
শেখে	শেখ
মাটির	মাটি
প্রকৃতি	প্রকৃত
বিভিন্ন	বিভিন্ন
দেশের	দেশ
মাটির	মাটি
ধর্ম	ধর্
কোন্	কোন
মাটিতে	মাট
কি	কি
ধরনের	ধরন
বস্তু	বস্ত
জন্মায়	জন্মা
এক	এক
কথায়	কথা
ভূবিদ্যা	ভূবিদ্য
ও	ও
ভূগোলের	ভূগো
নানা	নানা
প্রয়োজনীয়	প্রয়োজনী
তথ্য	তথ্য

এক	এক
সময়	সময়
আদি	আদি
অস্ত্রালদের	অস্ত্রাল
ব্যাপ্তি	ব্যাপ্ত
উত্তর	উত্তর
ভারত	ভারত
থেকে	থেকে
প্রশান্ত	প্রশান্ত
মহাসাগরের	মহাসাগ
ইস্টার	ইস্টা
দ্বীপ	দ্বীপ
পর্য্যন্ত	পর্য্যন্
ছিল	থাকা

তিনি	তিনি
যাকে	যা
বিশ্বাস	বিশ্বাস
করতেন	করা
সে	তিনি
কোন	কোন
মিথ্যা	মিথ্যা
কথা	কথা
বললে	বলা
তাঁর	তিনি
মাথায়	মাথা
যেন	যে
আকাশ	আকাশ
ভেঙে	ভা
পড়ত	পড়ত

ওঁর	ওঁ
মা	মা
নানা	নানা
রকম	রকম
প্রশ্ন	প্রশ্ন
করতে	করা
লাগলেন	লাগ

খ্রীষ্টপূর্ব	খ্রীষ্টপূর্
চতুর্থ	চতুর্থ
শতাব্দীতে	শতাব্দ
গ্রীক	গ্রী
দার্শনিক	অার্শন
য়্যারিস্টটল	য়্যারিস্টট

প্রমাণ	প্রমাণ
করেন	করা
যে	যে
জীবজগতের	জীবজগ
মধ্যে	মধ্যে
বিভিন্ন	বিভিন্ন
শ্রেণী	শ্রেণী
বর্তমান	বর্তমান
এবং	এবং
একটি	এক
শ্রেণীর	শ্রেণী
জীব	জী
অপর	পর
শ্রেণীর	শ্রেণী
জীব	জীব
থেকে	থেকে
অপেক্ষাকৃত	অপেক্ষাকৃ
উন্নত	উন্নত
এবং	এবং
জীবগুলি	জীবগুল
তাদের	তুমি
পূর্বপুরুষ	পূর্বপুরু
অর্থাত্	অর্থাত্
উদ্বংশীয়	উদ্বংশী

থেকে	থেকে
উত্পত্তি	উত্পত্ত
লাভ	লাভ
করে	করা
অভিব্যক্তি	অভিব্যক্ত
বা	বা
ক্রমবিকাশের	ক্রমবিকা
মাধ্যমে	মাধ্যম
ক্রমাগত	ক্রমাগ
পরিবর্তিত	পরিবর্তি
ও	ও
রূপান্তরিত	রূপান্তরি
হয়ে	হয়ে
বর্তমান	বর্তমান
রূপ	রূপ
ধারণ	ধা
করেছে	করা

আমি	আমি
তো	তো
নিজে	নিজ
থেকে	থেকে
আপনাদের	আপনি
টেবিলে	টেবিল
এসে	তিনি
জুড়ে	জুড়
বসলাম	বসলা

সেজন্য	সেজন্য
পারিবারিক	পারিবারি
খবরদারিটা	খবরদার
বিশেষত	বিশেষ
শুভলক্ষ্মীর	শুভলক্ষ্মী
মতো	মতো
এক	এক
প্রতিভাময়ী	প্রতিভাময়
অথচ	অথচ
কমবয়সী	কমবয়স
অভিনেত্রীর	অভিনেত্রী
ক্ষেত্রে	ক্ষেত্র
থাকাটা	থাকাট
অস্বাভাবিক	স্বাভাবিক
কিছু	কিছু
নয়	না

মধ্যবর্তীকালে	মধ্যবর্তীক
তিনি	তিনি
নানা	নানা
সময়ে	সময়
ইংরেজী	ইংরেজ
সাহিত্য	সাহিত্য
ইতিহাস	ইতিহাস
জীববিজ্ঞান	জীববিজ্ঞা
নৃতত্ত্ব	নৃতত্ত্
পড়িয়েছেন	পড়িয়ে
সালে	সাল
দেখা	দেখা
গেল	গেল
তিনি	তিনি
হয়ে	হয়ে
গেছেন	গে
মাদ্রাজ	মাদ্রাজ
প্রেসিডেন্সি	প্রেসিডেন্সি
কলেজে	কল
সংস্কৃত	সংস্কৃ
ও	ও
তুলনামূলক	তুলনামূল
ভাষাতত্ত্বের	ভাষাতত্ত্
অধ্যাপক	অধ্যাপক

তাজ	তা
গ্রুপ	গ্রু
তাঁদের	তিনি
স্থপতিদের	স্থপতি
পরামর্শ	পরামর্
দিয়ে	দেওয়া
রাজ্য	রাজ্য
সরকারের	সরকার
উন্নয়নমূলক	উন্নয়নমূল
প্রতিষ্ঠানগুলিকে	প্রতিষ্ঠানগুল
সাহায্য	সাহায্য
করবেন	কর

কিন্তু	কিন্তু
সমভূমি	সমভূম
অঞ্চলের	অঞ্চল
উর্বর	উর্বর
মৃত্তিকা	মৃত্তিক
ও	ও
সুন্দর	সুন্দর
যাতায়াত	যাতা
ব্যবস্থা	ব্যবস্থা
কৃষিকার্য্য	কৃষিকার্য্
এবং	এবং
ঘন	ঘন
জনবসতি	জনবসত
গড়িয়া	গড়িয়
উঠার	উঠা
বিশেষ	বিশেষ
সহায়ক	সহায়ক

ইহা	ইহা
খাদ্যকে	খাদ্
ধরিতে	ধর
এবং	এবং
য়্যানটিনা	য়্যানটিন
প্যাল্প	প্যাল্প
এবং	এবং
অগ্রপদকে	অগ্রপদক
পরিষ্কার	পরিষ্কার
রাখিতে	রাখ
সাহায্য	সাহায্য
করে	করা

রাণী	রাণ
লক্ষ্মীবাই	লক্ষ্মীবা
রাজসভা	রাজসভ
আহ্বান	আহ্বান
করেছেন	করা

নেহাত্	নেহাত
যদি	যদি
প্রাণে	প্রাণ
না	না
মর	ম
এখানকার	এখানকা
বাস	বাস
তোমার	তোিনি
ঘুচে	ঘ
যাবে	যাওয়া

রাতবিরেত	রাতবি
হলে	হওয়া
আরও	আর
বেশি	বেশি

চরকা	চরক
কাটতে	কা
দিয়ে	দেওয়া
কাটুনিদের	কাটুনি
মজুরি	মজুর
দেন	দেওয়া
সুতো	সুতো
থেকে	থেকে
কাপড়	কাপ
বুনিয়ে	বুন
তাঁতিদের	তাঁতি
মজুরি	মজুর
দেন	দেওয়া
গ্রামে	গ্রাম
তো	তো
কেউ	কে
কিনবে	কিনব
না	না
শহরে	শহর
এনে	এন
ভাণ্ডারে	ভাণ্ড
জমা	জমা
দেন	দেওয়া

ভাইকে	ভাইক
প্রাণাধিক	প্রাণাধিক
স্নেহ	স্নেহ
করতেন	করা
রামকুমার	রামকুমা

আর	আর
একজন	একজন
কিন্তু	কিন্তু
থানায়	থানা
যাবার	যাওয়া
পূর্বে	পূর্ব
জলযোগের	জলযো
ব্যবস্থার	ব্যবস্থা
প্রস্তাব	প্রস্তাব
করলেন	করা

আবার	আবার
কবে	কবে
তোমার	তুমি
সঙ্গে	সঙ্গ
এভাবে	এভাব
দেখা	দেখা
হবে	হওয়া

লক্ষ	লক্ষ
লক্ষ	লক্ষ
ছাত্র	ছাত্র
যুবক	যুবক
কেরিয়ারের	কেরিয়া
হাতছানি	হাতছ
উপেক্ষা	উপেক্ষা
করে	করা
ঘরবাড়ি	ঘরবাড়
ছেড়ে	ছ
গ্রামে	গ্রাম
গিয়েছিলেন	গিয়েছি
ওই	ও
উক্তির	উক্তি
স্বপক্ষে	স্বপক্ষ
কিছু	কিছু
তথ্য	তথ্য
অন্তত	অন্তত
সমকালীন	সমকালী
কিছু	কিছু
প্রমাণ	প্রমাণ
চাই	চাওয়া

এই	এই
রকম	রকম
সিদ্ধান্ত	সিদ্ধান্ত
থেকেই	থেকে
বেহালার	বেহা
বাড়ি	বাড়
ভাঙা	ভাঙা
ইসুকে	ইসুক
কাজে	কাজ
লাগাতে	লাগ
চায়	চাওয়া
কংগ্রেস	কংগ্রে

এই	এই
প্রকার	প্রকার
অনিয়মিত	অনিয়
ফলন	ফলন
খুব	খুব
ক্ষতিকর	ক্ষতিক
কারণ	কারণ
যে	যে
বত্সর	বত্স
গাছে	গাছ
প্রচুর	প্রচুর
ফলন	ফলন
হয়	হয়
সেই	সেই
বত্সর	বত্স
অত্যধিক	অত্যধি
ফলনের	ফল
জন্য	জন্য
বাজারে	বাজার
আমের	আ
দাম	দাম
পড়িয়া	পড়িয়
যায়	যায়
এবং	এবং
চাষীদেরও	চাষীদ
আশানুরূপ	আশানুরূ
আয়	আয়
হয়	হয়
না	না

কথাগুলোর	কথাগুলো
রেশ	রে
না	না
মিলাতে	মিল
মিলাতে	মিল
শ্লেষাত্মক	শ্লেষাত্ম
ভঙ্গিতে	ভঙ্গি
নাকিসুরে	নাকিস
বলেছিলেন	বলা
সেজন্যই	সেজন্য
বড়	বড়
করে	করা
করবার	করবি
অনুমতি	অনুমত
পেলাম	পেলা
না	না

কৃষি	কৃষ
ব্যাঙ্ক	ব্যাঙ্ক

কৃষকদিগকে	কৃষকদি
স্বল্প	স্বল্প
সুদে	সুদ
ঋণ	ঋণ
সরবরাহ	সরবরাহ
করা	করা
এই	এই
ব্যাঙ্কের	ব্যাঙ্
প্রধান	প্রধান
কাজ	কাজ

পঞ্চাশ	পঞ্চাশ
পেরিয়ে	পেরানো
গেছেন	গে
রক্তের	রক্
তেজ	তে
কমে	কমে
গেছে	ওয়া
নাক	নাক
আর	আর
আগের	আগ
মত	মত
কুঁচকে	কুঁচক
যায়	যায়
না	না
সভাসমিতির	সভাসমি
নামে	নাম

আগামী	আগামী
মাসে	মাস
পশ্চিমবাংলার	পশ্চিমবাংলা
দু'জায়গায়	দু'জায়গা
